name,price,mileage,transmission,range_km,fuel,city,road_accident,link
Haval Dargo 2022,23 800 $,18 тис. км,Автомат,,"Бензин, 2 л",Сміла,Не був у ДТП,https://auto.ria.com/uk/auto_haval_dargo_39547958.html
BMW 5 Series 2017,29 999 $,133 тис. км,Автомат,,"Бензин, 3 л",Львів (Львівська),Був у ДТП,https://auto.ria.com/uk/auto_bmw_5-series_37229167.html
Maxus e-Deliver 3 2022,25 800 $,12 тис. км,,225 км,"Електро, 50 кВт·год",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_maxus_e-deliver-3_35660064.html
BMW 5 Series 2017,31 500 $,127 тис. км,Автомат,,"Дизель, 2 л",Одеса,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_5-series_40038219.html
Renault Talisman 2018,13 900 $,231 тис. км,Автомат,,"Дизель, 1.5 л",Хмельницький,Не був у ДТП,https://auto.ria.com/uk/auto_renault_talisman_40036164.html
Polestar 2 2023,25 500 $,36 тис. км,,445 км,Електро,Коломия,Не був у ДТП,https://auto.ria.com/uk/auto_polestar_2_39031674.html
Porsche Panamera 2021,109 750 $,65 тис. км,Автомат,,"Бензин, 4 л",Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_porsche_panamera_39593301.html
Porsche Panamera 2017,40 900 $,111 тис. км,Автомат,,"Бензин, 3 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_porsche_panamera_40035106.html
Mercedes-Benz S-Class 2014,38 900 $,100 тис. км,Автомат,,"Бензин, 5.5 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_s-class_35635595.html
BMW X5 2022,90 000 $,57 тис. км,Автомат,,"Бензин, 4.39 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_40038764.html
Kia Sportage 2018,21 500 $,41 тис. км,Автомат,,"Дизель, 1.6 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_kia_sportage_39725233.html
BMW X5 2019,44 900 $,120 тис. км,Автомат,,Бензин,Одеса,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_37265831.html
DAF FX 2021,21 500 $,406 тис. км,Автомат,,Не вказано,Бровари,Не був у ДТП,https://auto.ria.com/uk/auto_daf_fx_39676380.html
Mercedes-Benz Sprinter 2010,13 500 $,363 тис. км,Автомат,,"Дизель, 2.14 л",Тячів,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_39303376.html
Mercedes-Benz Sprinter 2021,55 000 $,290 тис. км,Автомат,,"Дизель, 2.99 л",Чернівці (Чернівецька),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_38760580.html
Audi A6 1996,2 950 $,258 тис. км,Автомат,,"Дизель, 3 л",Запоріжжя,Не був у ДТП,https://auto.ria.com/uk/auto_audi_a6_40027864.html
